Order,Group,Order in group,kA,Tc (initial)/⊥,pA/Pa,Tc (final)/⊥,忖Tc/⊥,Temperature variation mode,Drying time/s
1,K1,1,0.25,55,0,55,0,None,146.72
2,K1,2,0.3,55,0,55,0,None,146.72
3,K1,3,0.35,55,0,55,0,None,146.72
4,K1,4,0.4,55,0,55,0,None,146.72
5,K1,5,0.45,55,0,55,0,None,146.72
6,K1,6,0.5,55,0,55,0,None,146.72
7,K1,7,0.55,55,0,55,0,None,146.72
8,K1,8,0.6,55,0,55,0,None,146.72
9,K1,9,0.65,55,0,55,0,None,146.72
10,K1,10,0.7,55,0,55,0,None,146.72
11,K1,11,0.75,55,0,55,0,None,146.72
12,K2,1,0.25,60,0,60,0,None,116.13
13,K2,2,0.3,60,0,60,0,None,116.13
14,K2,3,0.35,60,0,60,0,None,116.13
15,K2,4,0.4,60,0,60,0,None,116.13
16,K2,5,0.45,60,0,60,0,None,116.13
17,K2,6,0.5,60,0,60,0,None,116.13
18,K2,7,0.55,60,0,60,0,None,116.13
19,K2,8,0.6,60,0,60,0,None,116.13
20,K2,9,0.65,60,0,60,0,None,116.13
21,K2,10,0.7,60,0,60,0,None,116.13
22,K2,11,0.75,60,0,60,0,None,116.13
23,K3,1,0.25,65,0,65,0,None,89.81
24,K3,2,0.3,65,0,65,0,None,89.81
25,K3,3,0.35,65,0,65,0,None,89.81
26,K3,4,0.4,65,0,65,0,None,89.81
27,K3,5,0.45,65,0,65,0,None,89.81
28,K3,6,0.5,65,0,65,0,None,89.81
29,K3,7,0.55,65,0,65,0,None,89.81
30,K3,8,0.6,65,0,65,0,None,89.81
31,K3,9,0.65,65,0,65,0,None,89.81
32,K3,10,0.7,65,0,65,0,None,89.81
33,K3,11,0.75,65,0,65,0,None,89.81
34,K4,1,0.25,70,0,70,0,None,69.67
35,K4,2,0.3,70,0,70,0,None,69.67
36,K4,3,0.35,70,0,70,0,None,69.67
37,K4,4,0.4,70,0,70,0,None,69.67
38,K4,5,0.45,70,0,70,0,None,69.67
39,K4,6,0.5,70,0,70,0,None,69.67
40,K4,7,0.55,70,0,70,0,None,69.67
41,K4,8,0.6,70,0,70,0,None,69.67
42,K4,9,0.65,70,0,70,0,None,69.67
43,K4,10,0.7,70,0,70,0,None,69.67
44,K4,11,0.75,70,0,70,0,None,69.67
45,K5,1,0.25,75,0,75,0,None,55.28
46,K5,2,0.3,75,0,75,0,None,55.28
47,K5,3,0.35,75,0,75,0,None,55.28
48,K5,4,0.4,75,0,75,0,None,55.28
49,K5,5,0.45,75,0,75,0,None,55.28
50,K5,6,0.5,75,0,75,0,None,55.28
51,K5,7,0.55,75,0,75,0,None,55.28
52,K5,8,0.6,75,0,75,0,None,55.28
53,K5,9,0.65,75,0,75,0,None,55.28
54,K5,10,0.7,75,0,75,0,None,55.28
55,K5,11,0.75,75,0,75,0,None,55.28
56,K6,1,0.25,80,0,80,0,None,44.97
57,K6,2,0.3,80,0,80,0,None,44.97
58,K6,3,0.35,80,0,80,0,None,44.97
59,K6,4,0.4,80,0,80,0,None,44.97
60,K6,5,0.45,80,0,80,0,None,44.97
61,K6,6,0.5,80,0,80,0,None,44.97
62,K6,7,0.55,80,0,80,0,None,44.97
63,K6,8,0.6,80,0,80,0,None,44.97
64,K6,9,0.65,80,0,80,0,None,44.97
65,K6,10,0.7,80,0,80,0,None,44.97
66,K6,11,0.75,80,0,80,0,None,44.97
67,K7,1,0.25,85,0,85,0,None,36.66
68,K7,2,0.3,85,0,85,0,None,36.66
69,K7,3,0.35,85,0,85,0,None,36.66
70,K7,4,0.4,85,0,85,0,None,36.66
71,K7,5,0.45,85,0,85,0,None,36.66
72,K7,6,0.5,85,0,85,0,None,36.66
73,K7,7,0.55,85,0,85,0,None,36.66
74,K7,8,0.6,85,0,85,0,None,36.66
75,K7,9,0.65,85,0,85,0,None,36.66
76,K7,10,0.7,85,0,85,0,None,36.66
77,K7,11,0.75,85,0,85,0,None,36.66
78,T1,1,0.5,55,0,55,0,None,146.72
79,T1,2,0.5,56,0,56,0,None,140.18
80,T1,3,0.5,57,0,57,0,None,133.91
81,T1,4,0.5,58,0,58,0,None,127.82
82,T1,5,0.5,59,0,59,0,None,121.9
83,T1,6,0.5,60,0,60,0,None,116.13
84,T1,7,0.5,61,0,61,0,None,110.49
85,T1,8,0.5,62,0,62,0,None,104.99
86,T1,9,0.5,63,0,63,0,None,99.69
87,T1,10,0.5,64,0,64,0,None,94.62
88,T1,11,0.5,65,0,65,0,None,89.81
89,T1,12,0.5,66,0,66,0,None,85.25
90,T1,13,0.5,67,0,67,0,None,80.97
91,T1,14,0.5,68,0,68,0,None,76.95
92,T1,15,0.5,69,0,69,0,None,73.18
93,T1,16,0.5,70,0,70,0,None,69.67
94,T1,17,0.5,71,0,71,0,None,66.37
95,T1,18,0.5,72,0,72,0,None,63.3
96,T1,19,0.5,73,0,73,0,None,60.44
97,T1,20,0.5,74,0,74,0,None,57.77
98,T1,21,0.5,75,0,75,0,None,55.28
99,T1,22,0.5,76,0,76,0,None,52.96
100,T1,23,0.5,77,0,77,0,None,50.8
101,T1,24,0.5,78,0,78,0,None,48.78
102,T1,25,0.5,79,0,79,0,None,46.85
103,T1,26,0.5,80,0,80,0,None,44.97
104,T1,27,0.5,81,0,81,0,None,43.16
105,T1,28,0.5,82,0,82,0,None,41.42
106,T1,29,0.5,83,0,83,0,None,39.76
107,T1,30,0.5,84,0,84,0,None,38.17
108,T1,31,0.5,85,0,85,0,None,36.67
109,T2,1,0.5,56,400,56,0,None,1799.27
110,T2,2,0.5,57,400,57,0,None,1098.3
111,T2,3,0.5,58,400,58,0,None,777.72
112,T2,4,0.5,59,400,59,0,None,593.4
113,T2,5,0.5,60,400,60,0,None,473.46
114,T2,6,0.5,61,400,61,0,None,388.89
115,T2,7,0.5,62,400,62,0,None,326.3
116,T2,8,0.5,63,400,63,0,None,278.53
117,T2,9,0.5,64,400,64,0,None,241.15
118,T2,10,0.5,65,400,65,0,None,211.31
119,T2,11,0.5,66,400,66,0,None,187.06
120,T2,12,0.5,67,400,67,0,None,167.07
121,T2,13,0.5,68,400,68,0,None,150.38
122,T2,14,0.5,69,400,69,0,None,136.29
123,T2,15,0.5,70,400,70,0,None,124.27
124,T2,16,0.5,71,400,71,0,None,113.94
125,T2,17,0.5,72,400,72,0,None,104.99
126,T2,18,0.5,73,400,73,0,None,97.17
127,T2,19,0.5,74,400,74,0,None,90.31
128,T2,20,0.5,75,400,75,0,None,84.25
129,T2,21,0.5,76,400,76,0,None,78.86
130,T2,22,0.5,77,400,77,0,None,74.06
131,T2,23,0.5,78,400,78,0,None,69.76
132,T2,24,0.5,79,400,79,0,None,65.8
133,T2,25,0.5,80,400,80,0,None,62.1
134,T2,26,0.5,81,400,81,0,None,58.63
135,T2,27,0.5,82,400,82,0,None,55.41
